n_speakers,sample_rate,nfft,signal_duration,vad_treshold,pre_emph,frame_length,overlap,window,model,p,pre_processing_time,mfcc_time,model_time,microF1,macroF1
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,GMM,12,0.84,32.68,7.35,0.9,0.92
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,12,0.94,35.46,15.73,0.95,0.95
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,10,0.84,27.78,60.42,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,GMM,8,0.77,14.7,3.86,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,4,0.84,13.6,31.04,0.6,0.7
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,8,0.79,14.73,3.66,0.88,0.89
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,SVM,7,0.83,14.27,16.25,0.5,0.47
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,6,0.83,12.62,39.31,1.0,1.0
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,6,0.77,11.59,8.45,0.5,0.46
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,5,1.04,27.68,95.01,0.45,0.42
6,10000,512,10.0,0.012,0.975,0.035,0.02,hamming,SVM,9,0.77,16.11,9.53,0.52,0.45
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,VQ,7,0.84,20.32,45.69,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,6,1.05,30.09,96.75,0.55,0.5
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,9,1.05,38.43,102.47,0.55,0.53
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,10,0.83,18.99,58.61,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,8,1.05,35.46,122.99,0.92,0.94
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,GMM,11,0.83,20.87,7.06,0.95,0.95
6,10000,512,10.0,0.012,0.975,0.035,0.01,hamming,VQ,9,0.84,25.03,55.36,0.88,0.89
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,5,0.84,15.71,37.1,0.85,0.85
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,9,0.93,22.44,86.25,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,11,0.93,26.24,46.16,0.65,0.64
6,10000,512,10.0,0.012,0.95,0.035,0.01,hamming,SVM,4,0.84,13.58,15.38,0.48,0.42
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,VQ,7,0.94,18.88,72.48,0.92,0.94
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,GMM,10,1.05,40.97,38.34,0.9,0.91
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,5,0.94,15.4,41.38,0.48,0.35
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,5,0.9,15.42,20.09,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,4,0.9,14.71,41.01,0.5,0.44
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,SVM,6,0.79,11.59,8.41,0.57,0.52
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,12,0.9,35.23,39.29,0.62,0.53
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,SVM,10,0.83,18.99,17.44,0.45,0.49
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,7,0.9,23.13,18.1,0.88,0.88
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,4,1.04,25.14,40.48,0.82,0.82
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,10,1.13,41.03,104.09,0.57,0.56
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,GMM,4,0.93,13.82,15.33,0.82,0.85
6,10000,512,10.0,0.012,0.0,0.035,0.01,hamming,VQ,10,0.84,27.77,62.31,1.0,1.0
6,10000,512,10.0,0.012,0.95,0.025,0.01,hamming,VQ,11,0.94,33.07,91.24,0.98,0.98
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,GMM,6,0.9,17.0,17.37,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,GMM,5,0.9,18.32,19.95,0.72,0.73
6,10000,512,10.0,0.012,0.0,0.035,0.02,hamming,GMM,11,0.77,19.29,3.93,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,SVM,6,0.83,12.57,16.08,0.5,0.43
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,9,1.04,38.74,129.43,0.98,0.98
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,11,0.79,19.29,4.0,0.9,0.91
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,7,0.93,18.9,43.69,0.48,0.45
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,12,0.83,22.34,68.05,0.9,0.91
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,GMM,6,0.79,11.59,3.24,0.92,0.93
6,10000,512,10.0,0.012,0.0,0.015,0.01,hamming,SVM,5,1.05,27.69,95.52,0.5,0.36
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,4,0.79,8.53,20.69,0.85,0.87
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,6,0.83,12.57,5.57,0.98,0.98
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,SVM,6,0.93,16.98,42.84,0.55,0.56
6,10000,512,10.0,0.012,0.975,0.015,0.01,hamming,VQ,12,0.93,27.94,113.49,0.98,0.98
6,10000,512,10.0,0.012,0.0,0.025,0.01,hamming,VQ,9,0.9,28.02,79.19,0.95,0.96
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,VQ,10,0.79,17.9,41.92,0.98,0.98
6,10000,512,10.0,0.012,0.95,0.035,0.02,hamming,SVM,4,0.79,8.53,7.59,0.48,0.47
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,VQ,5,0.9,15.42,55.89,0.92,0.92
6,10000,512,10.0,0.012,0.95,0.015,0.01,hamming,SVM,5,1.13,27.72,97.85,0.45,0.5
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,12,0.9,35.23,17.16,0.95,0.95
6,10000,512,10.0,0.012,0.975,0.025,0.01,hamming,GMM,11,0.83,20.86,6.91,0.92,0.93
